,30d_slope,60d_slope,90d_slope
SPOT,0.0010477095645679308,0.0019408008683540446,0.0017080442851282668
NVO,0.0028505609354375063,-0.001388080679972195,0.00021832716087767244
WDAY,0.006961368306190737,0.0024476694132034957,-0.00024827940104405274
SCHW,0.0002422070793944627,-0.0031978423023494044,-0.0024151531662722717
SPGI,0.0021508879595564493,0.0028413363980852166,0.0023870099880118683
UNP,0.002343192832600478,0.002255374242642234,0.0006013946204471248
VRTX,-0.0006604826665713102,0.00023858329618563808,0.00184574113392272
RIVN,-0.0067147487054988525,0.002175134792342738,0.005502092437615589
CEG,0.004121880651678591,-0.0031196824937776376,-0.0016198348152577564
PM,0.0034184405048873737,0.004130110380167856,0.0030247578795725913
ELV,0.00226091455727953,0.00041333537350404754,0.0001470735640681139
MCHP,-0.001724142968432782,-0.003543954186501482,-0.0022700565769992577
MDT,0.004906353996046682,0.0019337980056409446,0.0005241006119179038
PGR,0.006882366010521868,0.0031867990996653694,0.0016387648257390076
GILD,0.0011617156709259025,0.003306516898314418,0.0025357005436229913
CI,0.0023098097208371087,0.0009980536867972923,0.00013335954901529958
SHW,0.002364805672158141,0.004305617655231086,0.0021889500138900344
SLB,-0.0032462014614403592,-0.0008184895008805313,-0.0007004347754403412
OXY,-0.002528743028399032,-0.0018996049157190766,-0.0014614897541191387
ON,0.0021754311420328965,0.0006853932433511391,0.0004531846786767528
MMM,0.0047463446594584015,0.005985946387270837,0.003956725155271275
LMT,0.00274303677643843,0.004656102385268891,0.002747255326414123
VST,0.005748750419951109,-0.0023234278991161295,-0.0016997558495801834
CDNS,0.0015329648959205864,-0.003759063468540103,-0.0011049623707409134
MDLZ,0.0029168927283606994,0.0017514985339617728,0.00014354196590266895
CLSK,-0.01657386885698995,-0.01007529578448559,-0.005106729083333077
FSLR,0.0016594909246548544,-0.003406331636562786,0.0004953317250154784
MDB,0.0034447449729615,0.0015894580231203272,-0.004481396046198201
KKR,0.002039782162094458,0.0022159602954264727,0.002459188486867431
CCL,-0.00021308034605717528,-0.0017579275188236117,0.0009803427922624106
DDOG,-3.4824273669372914e-05,-0.0015934109373511832,-0.0007032082350930958
FDX,-9.827772651082522e-05,0.0020262991739084103,0.002235685355028377
CMI,0.003017139600772126,0.002362657211515547,0.000900372986061298
CVNA,0.0074079976742234665,0.005759165700420624,0.004804464646297751
BLK,0.0019274067310331403,0.002626354868117713,0.0018132219690870637
DASH,0.007586770793252945,0.0031583709491295416,0.0006786494779083825
REGN,0.004845123446646276,0.002711659603493725,0.0027725102768420217
ZTS,0.0005949491851834764,0.0014238351781746643,0.0013726562453502229
MPC,0.0006770960371541382,0.00036581774844737005,-0.0005712199060128833
AMT,0.0014101362356057298,0.003445357154890389,0.002975489047943405
MO,0.0030061757027904455,0.0032232951577069132,0.0025080583859167344
MRNA,-0.015086112935828686,-0.011699397096707722,-0.0064981554055359
VLO,-0.0038022720577137207,-0.0009937179797805448,-0.001119363986277231
ENPH,0.002974556526691413,0.0005435901242306265,-0.0003273103802813807
BX,0.0006456155014271058,0.002673417168980202,0.0019324535421676474
EQIX,0.0026738074733211035,0.0018345891470065321,0.0014330758237989666
SYK,0.0036711493166024455,0.00030033943718727347,0.00036761227045676496
AAL,0.0009371480257679347,-0.0024129740389425406,-0.004552123487911976
PLD,0.0015941973214175396,0.002768648685748162,0.0026143914715640562
CHTR,-0.0011235742394195742,0.004985325483663445,0.004208989055011868
BSX,0.0034135574699334387,0.0004909352397298869,0.0007717144932939932
NOC,0.0037534328405538302,0.004124753311956281,0.0011203368189708395
DKNG,-3.6822498719084395e-05,-0.0034859841178686893,-0.0031501696778516207
WDC,-0.0003002023512513988,-0.0052705518257177945,-0.00227158056689208
ZS,0.003965259275812901,-8.862589419804632e-05,0.0009966118401076051
DAL,-0.0005196056375720403,-0.004284205435079177,-0.0036097019018812215
APD,0.0014180941732686628,0.0007919585489113099,0.0012500636029682119
AZO,0.0014444627766781843,0.0022697226553264906,0.001274070433940674
NEM,0.004659292551873853,0.004544784366320757,0.0029570494557618213
CB,0.0021189309705066353,0.0014095263199891917,0.001021965634496077
CRH,0.004248679122334074,0.0028814471631212076,0.0009375120900407178
ORLY,0.0009747089863169578,0.0021835360034258232,0.0017102515826654722
ADP,0.0030765365639876152,0.0025107322664536034,0.0012336248097477602
CSX,-8.409211178111393e-05,0.0005827324026127376,0.00021857519735336874
MCK,-0.0038196451081040222,-0.0012498956391868842,0.0004465331357207933
APH,0.002750021508747211,-0.0012584949341190891,8.966608162025182e-05
NU,0.00969964644914877,0.0028053155215981927,0.0023058224415993074
CME,0.00322250009324647,0.0015628852691508528,-1.561281559347298e-05
MPWR,0.006070267911859756,0.0018611771561936035,0.0029578151651456133
DXCM,-0.004023664479511919,-0.011594079613052264,-0.008241525456496618
CL,0.0028773825966954274,0.002052583476103479,0.0016378735583399003
UAL,-0.001417577638509148,-0.003878189462836206,-0.003410074136629251
ADSK,0.00318887569464848,0.0013394242270459839,0.0022531299939274143
ULTA,0.0017107216905919726,-0.00207895987534141,-0.001451521296203643
DHI,0.0029429745391664533,0.006229001909985559,0.0033163373179913107
EOG,0.0006115477473088971,0.0008073047114335962,-2.6140140867920302e-05
MNST,-0.0031732801740377574,-0.0011263430045571608,-0.001644235977875653
AZN,0.004502922481167737,0.0019535018762767914,0.001291482314695137
PSX,-0.0011680803614955136,-0.0002937552853808771,-0.0006847172675019322
AON,0.0035018098237246395,0.0033225197207015318,0.002381745585998026
EL,-0.002631848093488336,-0.0045049940351280515,-0.005316757984110636
FI,0.003453453618068247,0.00283370950113205,0.0014300770143923205
URI,0.0002991171240224071,0.002824425160549125,0.0010772025847647704
FTNT,0.013235020285930666,0.004811417795316488,0.0020649703258654633
KVUE,0.007926145228584276,0.004003629042113113,0.001145229879839941
JD,0.0015217972338374126,-0.0012698982494303438,-0.0027389406201411186
GOLD,0.0057351968354698,0.0037745047124266447,0.002098073986774117
HCA,0.004515965895805462,0.003243340147542525,0.0023397849806371983
DG,-0.007424597898847177,-0.0035248062823767237,-0.003073096620181936
HUBS,0.001592964949096346,-0.0036957706708337585,-0.0035540127808641117
SNAP,-0.012609933039740623,-0.013271299176289322,-0.007278695083553737
PINS,-0.003872916266402018,-0.008379542953496147,-0.0038536961893142203
MAR,0.00021074502402346605,-0.0017008561738022208,-0.0006426216548365316
RCL,0.0030272621445840368,0.0004260017464005479,0.0015179009206926144
USB,0.0018327737905940835,0.00300360122081715,0.0015364503186254008
SE,0.011182357440106745,0.0007731764429524988,0.0012377041410656237
PH,0.00422077981441912,0.0028283105013309625,0.0008896028112048769
TTD,0.007143870315160137,0.0006101027354216386,0.0012581851774505996
HSY,0.00022636725032611134,0.0015062145483145475,-6.785298531623653e-05
SOFI,0.003457754076472757,0.0022362517632263513,0.00046893836818590897
DECK,0.003171821616283011,-0.0014488710925960044,6.461422990419826e-05
TT,0.003457382105806338,0.0008794613297841746,0.0008859840834384315
BIDU,-0.0013894754583167975,-0.0016357817253691577,-0.0031053918533032656
COF,-4.139512904060551e-05,0.0007053344136543778,0.00016245340135358872
DLTR,-0.007443661177315464,-0.0038131958507066003,-0.003489725238804273
ALB,-0.0010646559756880526,-0.004212251087242269,-0.0059040595906024885
MMC,0.0016176379930373812,0.0014323266674015611,0.0014151172147943132
WM,0.0013306230161037598,-6.894826959492736e-05,5.4714220024518155e-05
ICE,0.003200998569375089,0.003310030288548617,0.002564639233681229
BDX,0.00022766757263579734,0.0004823451821466504,0.00016801574575069574
SO,0.0019694865012913026,0.0026512970050830724,0.0018642699715333624
JCI,0.001998336970649971,0.0005229300054984064,0.0006030961106738448
HES,-0.0029298677021297693,-0.0018479696352494634,-0.001798543290284046
CELH,-0.008177157484854225,-0.010450837576819288,-0.010801036274976415
TEAM,-0.0007356709635456105,-0.001635083637021137,-0.0014605115860915536
LEN,0.0017299971265632905,0.0039299396200217366,0.001661255088791865
EW,0.0033962238797585684,-0.006951459338400638,-0.0037991825624746484
DVN,-0.0011266539415182785,-0.0012790972015069928,-0.0015424332153133448
O,0.0028058915887238627,0.0034279998941426663,0.0017821304261950346
HLT,0.0010379072449527512,-7.392337399795277e-05,0.0008796872070282534
VALE,0.0005250827771040493,-0.0013412122447576307,-0.0022393690087450587
ROST,0.0036718901036603465,0.0002040928295651579,0.001389976680013607
TFC,0.000791224480427935,0.003725903862929006,0.0020954750416418864
ROKU,0.007933742365276046,0.0019314647651598126,0.0006983944961368724
COR,0.0012327878177336006,0.000869285089675028,0.000706793169317171
AFRM,0.014949992760485892,0.00023229720522189917,-0.0010296786431026844
EXPE,0.005139253252770875,0.0013045056160811588,0.0016446695921744272
ODFL,-0.0010623603370325855,0.0026300673266601584,0.0016144061591752486
AIG,0.00018035032119368267,-0.00011618015410643988,-0.0005656376145679948
NSC,0.0021752897602202413,0.002884261562690472,0.0010198678399043857
BP,-0.0004988395153306125,-0.001090638980183514,-0.001349571784268863
MCO,0.0035271573645903292,0.002973622689383412,0.0027115517560876512
GD,0.0007599474569330085,0.00026024136586839746,2.924319731444594e-05
LNG,0.001640687372051347,0.002425134729009666,0.002324318416674456
DUK,0.0020675218092180907,0.0029038516093314827,0.0017749501480689546
PNC,0.0010235247634495883,0.0033798035010653114,0.002142547409277073
